,AEM CN Equity,AQN CN Equity,ATD CN Equity,BMO CN Equity,BNS CN Equity,ABX CN Equity,BCE CN Equity,BAM CN Equity,BN CN Equity,BIP-U CN Equity,CAE CN Equity,CCO CN Equity,CAR-U CN Equity,CM CN Equity,CNR CN Equity,CNQ CN Equity,CP CN Equity,CTC/A CN Equity,CCL/B CN Equity,CVE CN Equity,GIB/A CN Equity,CSU CN Equity,DOL CN Equity,EMA CN Equity,ENB CN Equity,FM CN Equity,FSV CN Equity,FTS CN Equity,FNV CN Equity,WN CN Equity,GIL CN Equity,H CN Equity,IMO CN Equity,IFC CN Equity,K CN Equity,L CN Equity,MG CN Equity,MFC CN Equity,MRU CN Equity,NA CN Equity,NTR CN Equity,OTEX CN Equity,PPL CN Equity,POW CN Equity,QSR CN Equity,RCI/B CN Equity,RY CN Equity,SAP CN Equity,SHOP CN Equity,SLF CN Equity,SU CN Equity,TRP CN Equity,TECK/B CN Equity,T CN Equity,TRI CN Equity,TD CN Equity,TOU CN Equity,WCN CN Equity,WPM CN Equity,WSP CN Equity
2015-06-09,38.18,9.02,25.635,74.79,66.08,14.24,54.37,,22.839,21.4664,15.04,18.88,27.15,46.725,72.6,18.259,40.728,132.43,28.814,19.97,51.8,510.292,23.63,39.85,56.7,17.87,31.9,36.06,59.62,100.46,40.06,,48.9,88.05,3.09,51.245,71.87,23.63,34.35,48.58,,26.175,39.77,32.54,46.71,42.28,77.92,31.56,3.48,41.6,35.88,46.2048,14.45,20.78,54.7547,54.44,38.91,47.0751,22.77,41.77
2015-06-10,38.72,9.2,26.045,74.9,66.29,14.25,54.5,,22.8969,21.5429,15.15,18.89,27.21,47.025,72.56,18.2837,40.754,133.59,29.474,20.56,52.64,507.611,24.2667,40.15,56.87,17.7,31.94,35.82,59.17,100.52,39.98,,48.99,88.68,3.18,51.5985,72.44,23.97,34.44,48.44,,26.145,39.89,32.9,46.59,41.7,78.26,31.99,3.48,42.7,36.23,47.2615,14.5,20.66,54.9718,54.54,39.27,47.1997,23.08,42.08
2015-06-11,38.3,9.26,26.05,74.52,66.12,13.87,53.51,,22.8864,21.7844,15.0,18.75,27.26,47.1,73.0,18.1011,41.014,132.35,29.08,20.22,52.41,513.674,24.1433,40.41,56.5,17.08,32.0,35.86,59.23,100.01,39.74,,48.58,88.24,3.02,51.0843,72.31,23.8,34.5,48.42,,26.2,39.75,32.83,47.13,41.74,78.15,32.07,3.772,42.6,35.51,47.3435,14.23,20.555,55.2117,54.54,39.21,47.3659,22.89,41.54
2015-06-12,38.0,9.31,26.245,74.16,65.83,13.86,53.31,,22.5704,21.7764,15.0,19.07,27.25,47.075,73.01,17.4152,41.166,131.96,29.104,19.83,52.66,511.237,24.0033,40.13,55.73,17.47,31.71,35.72,58.79,99.51,39.57,,47.37,87.35,2.89,51.0361,71.85,23.7,34.4,48.28,,26.285,39.48,32.68,46.7,41.87,78.07,31.72,4.145,42.23,34.85,47.0156,13.97,20.435,54.7547,54.03,39.77,47.532,22.61,40.69
2015-06-15,38.28,9.28,26.9,74.89,66.11,14.15,53.37,,22.7126,21.5147,14.94,18.6,27.52,47.175,73.21,17.1931,41.16,132.3,29.006,19.92,52.02,501.061,24.0,39.95,55.81,17.22,31.35,35.6,59.54,100.28,40.41,,47.35,86.41,2.91,51.3735,71.22,23.65,34.37,48.6,,26.32,39.98,32.72,46.48,41.94,78.24,31.74,4.35,42.14,34.27,47.2706,13.73,20.54,54.7661,54.31,38.9,47.1305,22.98,40.34
2015-06-16,37.25,9.4,26.96,75.15,65.83,13.8,53.26,,22.4914,21.6194,14.97,18.6,27.66,47.32,73.38,17.2079,41.13,134.07,28.804,20.48,51.59,502.952,24.7,40.08,55.62,17.29,30.84,35.6,59.58,100.19,41.08,,47.53,86.48,2.84,51.5342,71.31,23.72,34.15,48.67,,26.31,40.25,32.57,45.65,41.75,78.52,31.63,4.699,42.28,34.49,47.3162,13.47,20.535,54.8461,54.31,38.57,47.172,22.62,40.31
2015-06-17,37.89,9.35,26.755,74.57,65.28,14.13,52.98,,22.2492,21.9333,14.95,18.58,28.23,47.065,73.95,17.3263,41.146,133.28,28.918,20.69,51.39,503.098,24.73,39.9,55.52,17.47,30.49,35.43,60.86,99.9,40.86,,47.73,86.4,2.97,51.3655,71.02,23.74,34.04,48.47,,26.05,40.62,32.3,45.85,41.81,78.05,31.55,4.749,42.23,34.46,47.5439,13.67,20.385,54.8346,53.86,39.04,47.2828,22.91,40.05
2015-06-18,39.02,9.5,26.845,74.47,65.17,14.31,53.04,,22.9549,22.0219,15.11,18.44,28.79,46.97,74.92,17.3708,41.492,133.38,30.126,21.51,50.79,499.17,24.91,40.35,55.55,17.39,30.45,36.06,61.15,99.98,40.81,,47.38,87.17,2.94,51.4137,70.57,23.79,34.05,47.84,,26.07,40.83,32.43,46.74,41.85,77.85,31.59,4.35,42.23,34.0,47.3344,13.69,20.62,54.9832,53.64,38.7,47.4905,23.16,40.2
2015-06-19,38.08,9.51,27.125,73.58,64.36,14.08,52.7,,23.0812,22.0501,15.15,18.2,28.55,46.55,75.4,17.0253,41.22,131.72,29.93,21.04,49.67,485.222,24.5533,40.37,57.31,16.81,30.37,36.0,60.08,100.72,40.46,,46.81,88.36,2.8,51.2932,70.74,23.68,33.6,47.39,,25.695,40.48,31.63,46.54,41.4,76.74,31.22,4.32,41.32,33.69,47.1796,13.37,20.8,54.7889,53.09,38.54,47.352,22.36,39.38
2015-06-22,37.23,9.58,26.995,74.17,65.15,13.78,53.48,,23.3129,22.1829,15.37,18.39,28.14,47.01,75.28,17.3017,41.458,133.93,29.908,20.91,51.03,504.034,24.7767,41.03,58.78,16.92,31.05,36.4,59.67,101.66,41.07,,48.15,87.9,2.79,51.6306,70.67,23.8,33.91,47.51,,25.795,41.27,32.07,47.49,42.23,77.4,31.45,4.55,41.78,33.99,47.9721,13.34,21.305,55.2574,53.64,38.77,47.5043,22.47,40.1
